fuel_type,body_type,km_driven,owner,price,manufacturing_year,link,features,oem,model,registration_year,Mileage,Seats,transmission,variantName,City
Petrol,SUV,10000,First Owner,1050000,2022,https://www.cardekho.com/used-car-details/used-Mahindra-Xuv300-W6-Amt-Sunroof-Bsvi-cars-Bangalore_02358338-91c8-4bf4-85bd-9259e7639313.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Mahindra,Mahindra XUV300,2022,17,5,Automatic,W6 AMT Sunroof BSVI,Bangalore
Petrol,Hatchback,50000,First Owner,240000,2013,https://www.cardekho.com/used-car-details/used-Maruti-Alto-K10-Lxi-cars-Bangalore_ae1e70bd-6faf-4d0e-ad84-5c658b1aa890.htm,"Power Steering, Remote Trunk Opener, Air Conditioner, Heater, Adjustable Head Lights, Manually Adjustable Exterior Rear View Mirror, Halogen Headlamps, Rear Seat Belts",Maruti,Maruti Alto K10,2013,20.92,5,Manual,LXI,Bangalore
Petrol,SUV,10000,First Owner,835000,2022,https://www.cardekho.com/used-car-details/used-Renault-Kiger-Rxz-Amt-Dt-cars-Bangalore_d07da871-1105-4189-994e-19c61c2d05b1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Power Adjustable Exterior Rear View Mirror, Anti Lock Braking System, Centeral Locking, Radio",Renault,Renault Kiger,2022,19.03,5,Automatic,RXZ AMT DT,Bangalore
Petrol,Sedan,20000,First Owner,990000,2019,https://www.cardekho.com/used-car-details/used-Volkswagen-Vento-1.2-Tsi-Highline-Plus-At-cars-Bangalore_ed109243-1ec7-4745-a0bd-20f8041d7cbc.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Cd Player",Volkswagen,Volkswagen Vento,2019,18.19,5,Automatic,1.2 TSI Highline Plus AT,Bangalore
Petrol,Sedan,30000,First Owner,750000,2018,https://www.cardekho.com/used-car-details/used-Toyota-Yaris-G-Bsiv-cars-Bangalore_277ae8e1-6c3b-41ad-ae2b-52489ea7105c.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Toyota,Toyota Yaris,2018,17.1,5,Manual,G BSIV,Bangalore
Diesel,SUV,30000,First Owner,1750000,2021,https://www.cardekho.com/used-car-details/used-Mg-Hector-Sharp-Diesel-Mt-Bsiv-cars-Bangalore_1c7017f4-b557-40fc-8425-c419ac96c0b1.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",MG,MG Hector,2021,17.41,5,Manual,Sharp Diesel MT BSIV,Bangalore
Petrol,SUV,40000,First Owner,1280000,2018,https://www.cardekho.com/used-car-details/used-Hyundai-Creta-1.6-Sx-Automatic-cars-Bangalore_63af6c1c-920e-45ec-850b-33ca2aed98d5.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Creta,2018,14.8,5,Automatic,1.6 SX Automatic,Bangalore
Petrol,SUV,20000,First Owner,1250000,2019,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-Plus-Turbo-Dct-Bsiv-cars-Bangalore_7bb8436b-0695-41fe-b3d0-5b7e83297e4f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Venue,2019,18.15,5,Automatic,SX Plus Turbo DCT BSIV,Bangalore
Petrol,SUV,20000,First Owner,1250000,2019,https://www.cardekho.com/used-car-details/used-Hyundai-Venue-Sx-Plus-Turbo-Dct-Bsiv-cars-Bangalore_99a0e5fb-b078-49fe-99d5-66edf0b05f2f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Hyundai,Hyundai Venue,2019,18.15,5,Automatic,SX Plus Turbo DCT BSIV,Bangalore
Diesel,Sedan,80000,Second Owner,600000,2008,https://www.cardekho.com/used-car-details/used-Bmw-3-Series-320d-cars-Bangalore_5267ba14-3976-4a46-8cd4-45a7ecaea696.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",BMW,BMW 3 Series,2008,13.2,5,Automatic,320d,Bangalore
Petrol,SUV,30000,First Owner,2450000,2021,https://www.cardekho.com/used-car-details/used-Jeep-Compass-Model-S-Dct-Bsvi-cars-Bangalore_a4b81c01-17a3-46da-844e-17fd15ba55f6.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Centeral Locking, Radio",Jeep,Jeep Compass,2021,14.1,5,Automatic,Model S DCT BSVI,Bangalore
Petrol,SUV,20000,First Owner,1625000,2020,https://www.cardekho.com/used-car-details/used-Kia-Seltos-Gtx-Plus-Dct-cars-Bangalore_22bd1265-43d9-4a29-9eaa-1161331ca460.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Radio",Kia,Kia Seltos,2020,16.5,5,Automatic,GTX Plus DCT,Bangalore
Petrol,Hatchback,80000,Third Owner,249000,2009,https://www.cardekho.com/used-car-details/used-Hyundai-I10-Sportz-1.2-cars-Bangalore_1f34a9df-3239-4d0a-93af-d87a6cb5382f.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Fog Lights Front, Manually Adjustable Exterior Rear View Mirror, Centeral Locking, Day Night Rear View Mirror, Cd Player",Hyundai,Hyundai i10,2009,20.36,5,Manual,Sportz 1.2,Bangalore
Diesel,SUV,30000,Second Owner,2599000,2016,https://www.cardekho.com/used-car-details/used-Audi-Q5-30-Tdi-Sport-Edition-cars-Bangalore_24435800-c36d-4d51-8e50-507b5e82a650.htm,"Power Steering, Power Windows Front, Air Conditioner, Heater, Adjustable Head Lights, Fog Lights Front, Anti Lock Braking System, Brake Assist, Cd Player",Audi,Audi Q5,2016,14.16,5,Automatic,30 TDI Sport Edition,Bangalore
